color,HEX ,celltype,Old
Light-green1,56E600,cleavage,Zygote_CS1
Light-green1,56E600,Oocyte,Zygote_CS1
Light-green2,48BF00,Zy,4-cell_CS2
Light-green3,399900,2C,
Green1,00E639,4C,
Green2,00BF30,8C,8-cell_CS2
Green3,009926,cMor,Mor_CS3
Green3,009926,Blast,
Green3,009926,ICM-early,earlyICM_CS3
Turquoise1,00E6E6,ICM,
Turquoise1,00E6E6,ICM-late,earlyICM_CS3
Turquoise2,00BFBF,EPI,Epi_CS3
Turquoise2,00BFBF,EPI-1,Epi_CS3
Turquoise2,00BFBF,EPI-2,Epi_CS3
Turquoise3,009999,PSA-EPI,
Light-blue1,0039E6,CTB-towards-STB,EmDisc_CS5
Light-blue1,0039E6,sCTB1,EmDisc_CS5
Light-blue2,0233BF,sCTB2,EmDisc_CS7
Light-blue3,002699,sCTB3,
Light-blue3,002699,STB-early,
Dark-blue1,2600E6,STR,
Dark-blue1,2600E6,STB-late-1,
Dark-blue2,2000BF,STB-late-2,
Dark-blue3,2C1599,STB-late-3,
Dark-blue4,1A0873,STB,Am_CS5
Dark-blue4,1A0873,aSTB4,Am_CS5
Dark-blue5,13084D,,Am_CS7
Purple1,921FE6,CTB,Tb_CS5
Purple1,921FE6,CTB-early,Tb_CS5
Purple2,7813BF,,Tb_CS7
Purple3,5B0399,,
Pink1,E605A4,TB,
Pink1,E605A4,TB-early,
Pink1,E605A4,TE,
Pink2,BF0489,TB-mid,Tb_CS3
Pink3,99036D,TB-late,
Light-red1,F04C04,hTSC-TURCO,ExMes_CS5
Light-red2,BF3C04,hTSC-OKAE,ExMes_CS7
Light-red2,BF3C04,hTSC,ExMes_CS7
Light-red3,992F03,CTB-towards-EVT-1,
Red1,E60505,CTB-towards-EVT-2,
Red1,E60505,CTB-towards-EVT-3,
Red2,BF0504,EVT-early,
Red2,BF0504,EVT,
Red3,960303,EVT-late,
Orange1,E68600,,SYS_protrusion_CS5
Orange2,BF7104,,SYS_CS7
Orange3,995B03,,
Gold1,E6B500,PE,Hyp_CS3
Gold2,BF9600,,VE_CS5
Gold3,967700,,
Yellow1,E6E600,hESC,PGC_CS5
Yellow1,E6E600,hESC1,PGC_CS5
Yellow2,BFBF04,hESC-YAN,
Yellow2,BFBF04,hESC2,
Yellow2,BFBF04,hES,
Yellow3,999903,,
Gray,808080,MIX,
Gray,808080,unknown,
Gray,808080,uCTB,
Gray,808080,non-specific,

Gray75,BFBFBF,stage I,
Gray50,7F7F7F,stage II,
Gray25,404040,stage III,
Black,000000,stage IV,

Green3,009926,TB_stem,
Light-red3,992F03,EVT_branch,
Light-blue1,0039E6,STB_branch,
